U 90 | F 184320 | FPS 0571 | D 351 | rR: 0.02 0.08 0.00 0.32 | F: 241.5 300.5 7.0 1000.0 | H 1.942 | V 0.017 | pL 0.004 | vL 0.000 | dL 0.002
Status saved
U 91 | F 186368 | FPS 0554 | D 355 | rR: 0.11 0.30 0.00 0.91 | F: 307.2 361.7 7.0 1000.0 | H 1.938 | V 0.026 | pL -0.013 | vL 0.006 | dL 0.016
U 92 | F 188416 | FPS 0567 | D 359 | rR: 0.18 0.32 0.00 0.91 | F: 372.7 347.0 31.0 1000.0 | H 1.930 | V 0.028 | pL -0.004 | vL 0.002 | dL 0.010
U 93 | F 190464 | FPS 0568 | D 362 | rR: 0.20 0.35 0.00 0.98 | F: 168.0 191.8 2.0 632.0 | H 1.920 | V 0.034 | pL -0.012 | vL 0.007 | dL 0.021
U 94 | F 192512 | FPS 0572 | D 366 | rR: 0.18 0.37 0.00 0.97 | F: 177.3 216.6 2.0 698.0 | H 1.931 | V 0.034 | pL -0.007 | vL 0.006 | dL 0.020
U 95 | F 194560 | FPS 0557 | D 370 | rR: 0.22 0.38 0.00 0.97 | F: 242.9 282.3 3.0 1000.0 | H 1.924 | V 0.044 | pL -0.006 | vL 0.004 | dL 0.014
U 96 | F 196608 | FPS 0560 | D 373 | rR: 0.15 0.32 0.00 0.99 | F: 118.7 103.2 5.0 405.0 | H 1.929 | V 0.046 | pL 0.001 | vL 0.004 | dL 0.011
U 97 | F 198656 | FPS 0575 | D 377 | rR: 0.10 0.28 0.00 0.99 | F: 100.7 132.3 5.0 459.0 | H 1.934 | V 0.037 | pL 0.010 | vL 0.000 | dL 0.003
U 98 | F 200704 | FPS 0576 | D 381 | rR: 0.10 0.28 0.00 0.99 | F: 95.4 131.0 5.0 459.0 | H 1.943 | V 0.030 | pL 0.006 | vL 0.000 | dL 0.002
U 99 | F 202752 | FPS 0540 | D 384 | rR: 0.00 0.00 0.00 0.00 | F: 244.1 342.5 5.0 1000.0 | H 1.944 | V 0.024 | pL 0.005 | vL 0.000 | dL 0.001
U 100 | F 204800 | FPS 0558 | D 388 | rR: 0.21 0.38 0.00 0.98 | F: 367.7 372.7 15.0 1000.0 | H 1.937 | V 0.038 | pL -0.020 | vL 0.010 | dL 0.021
Status saved
U 101 | F 206848 | FPS 0587 | D 392 | rR: 0.33 0.43 0.00 0.98 | F: 278.2 274.3 12.0 1000.0 | H 1.928 | V 0.035 | pL -0.007 | vL 0.006 | dL 0.016
U 102 | F 208896 | FPS 0514 | D 396 | rR: 0.16 0.34 0.00 0.98 | F: 319.9 317.9 12.0 1000.0 | H 1.935 | V 0.038 | pL 0.001 | vL 0.003 | dL 0.009
U 103 | F 210944 | FPS 0514 | D 400 | rR: 0.12 0.32 0.00 0.99 | F: 252.6 304.7 10.0 1000.0 | H 1.928 | V 0.040 | pL -0.001 | vL 0.004 | dL 0.011
U 104 | F 212992 | FPS 0564 | D 403 | rR: 0.17 0.36 0.00 1.00 | F: 287.3 287.2 1.0 1000.0 | H 1.936 | V 0.039 | pL -0.000 | vL 0.003 | dL 0.010
U 105 | F 215040 | FPS 0436 | D 408 | rR: 0.00 0.00 0.00 0.00 | F: 168.4 238.3 12.0 953.0 | H 1.941 | V 0.029 | pL 0.009 | vL 0.000 | dL 0.004
U 106 | F 217088 | FPS 0439 | D 413 | rR: 0.06 0.23 0.00 0.94 | F: 209.4 256.3 12.0 953.0 | H 1.939 | V 0.032 | pL -0.003 | vL 0.003 | dL 0.012
U 107 | F 219136 | FPS 0570 | D 416 | rR: 0.26 0.39 0.00 0.94 | F: 230.0 234.5 12.0 953.0 | H 1.921 | V 0.045 | pL -0.018 | vL 0.008 | dL 0.019
U 108 | F 221184 | FPS 0561 | D 420 | rR: 0.23 0.38 0.00 0.99 | F: 198.4 250.2 5.0 921.0 | H 1.918 | V 0.065 | pL -0.013 | vL 0.010 | dL 0.024
U 109 | F 223232 | FPS 0561 | D 424 | rR: 0.12 0.32 0.00 0.99 | F: 152.1 233.2 6.0 921.0 | H 1.921 | V 0.057 | pL 0.015 | vL 0.001 | dL 0.008
U 110 | F 225280 | FPS 0565 | D 427 | rR: 0.09 0.26 0.00 0.97 | F: 158.4 152.3 15.0 526.0 | H 1.926 | V 0.056 | pL -0.001 | vL 0.004 | dL 0.016
Status saved
U 111 | F 227328 | FPS 0550 | D 431 | rR: 0.15 0.32 0.00 0.97 | F: 197.4 151.8 15.0 526.0 | H 1.930 | V 0.051 | pL 0.002 | vL 0.003 | dL 0.008
U 112 | F 229376 | FPS 0563 | D 435 | rR: 0.27 0.39 0.00 0.93 | F: 197.8 224.8 26.0 960.0 | H 1.923 | V 0.061 | pL -0.005 | vL 0.006 | dL 0.017
U 113 | F 231424 | FPS 0557 | D 438 | rR: 0.21 0.37 0.00 0.98 | F: 236.8 303.1 23.0 960.0 | H 1.921 | V 0.057 | pL -0.006 | vL 0.007 | dL 0.019
U 114 | F 233472 | FPS 0581 | D 442 | rR: 0.14 0.32 0.00 0.98 | F: 204.7 261.3 8.0 803.0 | H 1.927 | V 0.044 | pL 0.010 | vL 0.000 | dL 0.005
U 115 | F 235520 | FPS 0562 | D 446 | rR: 0.00 0.00 0.00 0.00 | F: 171.6 176.3 8.0 579.0 | H 1.935 | V 0.036 | pL 0.009 | vL 0.000 | dL 0.003
U 116 | F 237568 | FPS 0562 | D 449 | rR: 0.06 0.23 0.00 0.97 | F: 301.2 311.9 31.0 1000.0 | H 1.933 | V 0.036 | pL 0.000 | vL 0.004 | dL 0.009
U 117 | F 239616 | FPS 0563 | D 453 | rR: 0.17 0.35 0.00 0.97 | F: 255.8 299.7 36.0 1000.0 | H 1.937 | V 0.038 | pL -0.008 | vL 0.006 | dL 0.013
U 118 | F 241664 | FPS 0572 | D 456 | rR: 0.16 0.33 0.00 0.97 | F: 199.2 250.5 37.0 1000.0 | H 1.936 | V 0.034 | pL 0.003 | vL 0.002 | dL 0.008
U 119 | F 243712 | FPS 0555 | D 460 | rR: 0.00 0.00 0.00 0.00 | F: 236.6 294.1 29.0 1000.0 | H 1.940 | V 0.026 | pL 0.007 | vL 0.000 | dL 0.002
U 120 | F 245760 | FPS 0559 | D 464 | rR: 0.06 0.23 0.00 0.94 | F: 231.1 297.2 9.0 1000.0 | H 1.943 | V 0.027 | pL -0.004 | vL 0.003 | dL 0.010
Status saved
